Crystal angle	Rate at 33kV
31,5	21,0
31,6	21,0
31,7	21,0
31,8	19,0
31,9	21,0
32,0	21,0
32,1	20,0
32,2	18,0
32,3	17,0
32,4	20,0
32,5	20,0
32,6	19,0
32,7	19,0
32,8	21,0
32,9	17,0
33,0	17,0
33,1	16,0
33,2	18,0
33,3	16,0
33,4	20,0
33,5	16,0
33,6	17,0
33,7	15,0
33,8	18,0
33,9	15,0
34,0	18,0
34,1	18,0
34,2	15,0
34,3	16,0
34,4	18,0
34,5	17,0
34,6	17,0
34,7	17,0
34,8	16,0
34,9	14,0
35,0	16,0
35,1	13,0
35,2	15,0
35,3	16,0
35,4	14,0
35,5	15,0
35,6	16,0
35,7	15,0
35,8	16,0
35,9	13,0
36,0	13,0
36,1	16,0
36,2	17,0
36,3	15,0
36,4	12,0
36,5	13,0
36,6	14,0
36,7	12,0
36,8	12,0
36,9	13,0
37,0	11,0
37,1	14,0
37,2	12,0
37,3	13,0
37,4	10,0
37,5	12,0
37,6	13,0
37,7	14,0
37,8	11,0
37,9	12,0
38,0	10,0
38,1	12,0
38,2	12,0
38,3	12,0
38,4	13,0
38,5	11,0
38,6	12,0
38,7	13,0
38,8	12,0
38,9	10,0
39,0	14,0
39,1	12,0
39,2	13,0
39,3	12,0
39,4	12,0
39,5	13,0
39,6	11,0
39,7	12,0
39,8	12,0
39,9	11,0
40,0	10,0
40,1	10,0
40,2	12,0
40,3	12,0
40,4	11,0
40,5	12,0
40,6	9,0
40,7	12,0
40,8	10,0
40,9	10,0
41,0	13,0
41,1	11,0
41,2	11,0
41,3	11,0
41,4	13,0
41,5	10,0
41,6	10,0
41,7	11,0
41,8	12,0
41,9	10,0
42,0	12,0
42,1	11,0
42,2	12,0
42,3	11,0
42,4	13,0
42,5	13,0
42,6	14,0
42,7	19,0
42,8	23,0
42,9	25,0
43,0	42,0
43,1	71,0
43,2	228,0
43,3	262,0
43,4	217,0
43,5	70,0
43,6	38,0
43,7	21,0
43,8	18,0
43,9	17,0
44,0	16,0
44,1	16,0
44,2	14,0
44,3	14,0
44,4	14,0
44,5	12,0
44,6	12,0
44,7	14,0
44,8	16,0
44,9	12,0
45,0	13,0
45,1	14,0
45,2	12,0
45,3	12,0
45,4	12,0
45,5	11,0
45,6	10,0
45,7	13,0
45,8	12,0
45,9	10,0
46,0	11,0
46,1	11,0
46,2	11,0
46,3	11,0
46,4	10,0
46,5	12,0
46,6	11,0
46,7	11,0
46,8	14,0
46,9	12,0
47,0	11,0
47,1	10,0
47,2	12,0
47,3	14,0
47,4	12,0
47,5	13,0
47,6	14,0
47,7	13,0
47,8	14,0
47,9	16,0
48,0	14,0
48,1	14,0
48,2	16,0
48,3	16,0
48,4	18,0
48,5	18,0
48,6	21,0
48,7	18,0
48,8	27,0
48,9	28,0
49,0	36,0
49,1	54,0
49,2	196,0
49,3	583,0
49,4	938,0
49,5	1161,0
49,6	1099,0
49,7	521,0
49,8	242,0
49,9	65,0
50,0	32,0
50,1	29,0
50,2	20,0
50,3	19,0
50,4	17,0
50,5	16,0
50,6	17,0
50,7	15,0
50,8	15,0
